ID,Varenavn,Produsent,ATC Kode
ID_75D0DEB7-DEC4-4923-94C2-B4A7D82AFFF9,Møllers pharma omega-3 multi kaps,Orkla Health Norge AS,
ID_75D3AC7E-EDD5-406C-A03D-923D302FE0C3,"Efedrin SA inj, oppl 5 mg/ml","Sykehusapoteket Oslo, Rikshospitalet",C01CA26
ID_75DF4A6B-734E-48F7-BCE8-BDA7E9491C41,Mitoxantron Ebewe kons til inf oppl 2 mg/ml,EBEWE Pharma Ges.m.b.H Nfg. KG,L01DB07
ID_75DF5047-4981-4F9A-8B1B-77E1B64B84B3,"Cosentyx inj, oppl 75 mg/sprøyte",Novartis Europharm Limited (1),L04AC10
ID_75E30C95-1131-4DCD-8FF3-08A953C93798,Mexiletine teva kaps 250 mg,Teva Pharmaceuticals,C01BB02
ID_75F2FACD-9B2D-42EF-9A94-4C4A04B107B6,"Amoxicilline/Clavulaanzuur pch pulv til inj væske, oppl 500 mg/50 mg",Pharmachemie B.V.,J01CR02
ID_7605BDF2-44F5-462B-8EC5-4687F328D28F,Valsartan Sandoz tab 160 mg,Sandoz - København,C09CA03
ID_760F4569-AD77-45FF-9CE1-8E924F939C35,Signifor pulv+væske til inj susp 60 mg/sprøyte,Recordati Rare Diseases,H01CB05
ID_7610C29C-509C-4348-A716-F52D6D01620D,Carnitor mikst oppl 100 mg/ml,Sigma-Tau,A16AA01
ID_76117DC6-220F-4584-B74F-E11E57A15A60,"Monopex øyedr, oppl 1 mg/ml",Laboratoires Théa S.A.S,S01BA01
ID_761DE6B4-CDD9-47E8-9BC8-564CC424D789,"Afinitor tab 2,5 mg",Abacus Medicine A/S,L01EG02
ID_762CF810-8C28-4113-AE2B-6EEAE2B2778F,Multibic 2 mmol/l Kalium hemodial/hemofilt væske,Fresenius,B05ZB
ID_76343B0F-FDEC-41C6-B6FB-9797395C5526,Farydak kaps 15 mg,pharmaand GmbH,L01XH03
ID_7638A4E9-5FD3-4E7C-9E98-09AB9EB7E08C,Clarithromycin Accord tab 500 mg,Accord Healthcare B.V.,J01FA09
ID_763C6841-53C0-40F6-BE8D-D3BF2638A334,"Lyumjev inj, oppl 100 E/ml",Eli Lilly Nederland B.V. (1),A10AB04
ID_763DA7E8-C6D5-4D84-BA50-935D78BCBB77,"Sifrol depottab 0,52 mg",Boehringer Ingelheim International GmbH,N04BC05
ID_763F899C-7A10-434D-9B0F-6B37ED432B38,Actilyse pulv+væske til inj/inf oppl 50 mg,Boehringer lngelheim International GmbH,B01AD02
ID_764C5DA2-90D9-4C9F-8C43-C547C44DFEBD,Janumet tab 50 mg/850 mg,2care4 ApS,A10BD07
ID_76515812-F784-4062-B8CA-B80DBA5D80AE,Levokarnitin SA mikst 100 mg/ml,Sykehusapotekene HF,A16AA01
ID_76598898-20BB-4AB2-BA62-558FF4342D2D,"Xydalba pulv til kons til inf væske, oppl 500 mg",AbbVie Deutschland GmbH & Co,J01XA04
ID_7660D36E-16DD-4A36-82E4-681D1EEEF526,"Bramitob inh væske, oppl 300 mg/dose",Chiesi Farmaceutici S.p.a.,J01GB01
ID_76677C31-3124-4EE6-B321-423035105FEE,"Adrenalin inj, oppl 1 mg/ml",Takeda AS,C01CA24
ID_76689488-0764-4658-8E90-51471FCF8E78,Lenalidomide Sandoz kaps 5 mg,Sandoz - København,L04AX04
ID_76717F09-11B0-4963-BA41-C4241DED5995,Nycoplus C-vitamin tyggetab 200 mg,Orifarm Healthcare AS,
ID_7676C9A7-0213-4C92-B6CF-913007FD6A1F,"Spiolto Respimat inh væske, oppl 2,5 mikrog/2,5 mikrog",Boehringer Ingelheim International GmbH,R03AL06
ID_7677AB38-A2A3-4C70-87F8-52F2357B95E5,Cayston pulv+væske til inh væske oppl 75 mg/dose,Gilead Sciences Ireland UC,J01DF01
ID_769100C2-189A-492C-87A8-9B0D48079024,Midazolam SA mikst oppl 2 mg/ml,Sykehusapotekene  HF,N05CD08
ID_76B154F2-B29C-4553-8F37-24353D61F4BE,"Cubicin pulv til inj/inf væske, oppl 500 mg",Merck Sharp & Dohme B.V. (1),J01XX09
ID_76C7BB7B-C257-4274-83C6-67D3AA537F37,"Iopidine øyedr, oppl 1 % w/v",Essential Pharma,S01EA03
ID_76CE88E0-B53D-4710-A533-4A6C9830AED8,Marzine tab 50 mg,Viatris AS,R06AE03
ID_76DADA2E-B3E3-40A8-B16C-3546A53CB23D,Lixiana tab 30 mg,Daiichi Sankyo Europe GmbH,B01AF03
ID_76DC8E50-AB74-4C97-B98B-BC7D653A9B59,Indivina tab 2 mg/5 mg,Orion Corporation Orion Pharma,G03FA12
ID_76E3E502-0299-41E4-9893-C1DE38C08D09,Yentreve enterokaps 20 mg,Lilly,N06AX21
ID_76E5F6CF-DBC1-4DA5-88E6-C066CE0BCA0F,Emtricitabine/Tenofovir disoproxil Zentiva tab 200 mg/245 mg,Zentiva k.s.,J05AR03
ID_76E989A1-F74C-490D-8E1E-A176BBF6EF4D,Addex-Natriumklorid kons til inf oppl 1 mmol/ml,Fresenius Kabi Norge AS,B05XA03
ID_76EB12FF-CA3A-4868-A90B-7DA38E80A973,"Dexclorfeniramina Maleato accord inj, oppl 5 mg/ml",Accord,R06AB02
ID_76EB75C5-5C72-45DF-A344-79C00FBF9F59,Sumatriptan Teva tab 100 mg,Teva Sweden AB,N02CC01
ID_76FA891E-AF54-40CF-B363-9A71DD27D832,Zyprexa tab 5 mg,CHEPLAPHARM Registration GmbH,N05AH03
ID_770796FB-992D-4A5B-A8D9-064ED2938197,Lomudal GI mikst oppl 20 mg/ml,Sanofi,A07EB01
ID_770ED70A-5FB7-497D-9BF6-DCB5C36F55A3,Lamprene kaps 50 mg,Novartis,J04BA01
ID_77258833-AEB4-4338-BEA0-4305BE032F41,Alyostal lateks oppl til prikktest 100 E/ml,Stallergenes,V04CL
ID_772CBCBA-A30D-46F3-AA4E-4CBF18D85FF7,"Staloral bjørk startpakning sublingvalspray, oppl 300 RI/ml",Stallergenes,V01AA05
ID_77330537-98E2-40E1-A57B-8D1D35627D4F,Xadago tab 100 mg,Zambon SpA,N04BD03
ID_773CE77E-8F56-411F-BD4A-F6FAD735F0A0,Levaxin tab 50 mikrog,Orifarm Healthcare A/S,H03AA01
ID_7752F6CE-661D-4CDA-AF30-7970AAA710E8,Enalapril Krka tab 5 mg,KRKA Sverige AB,C09AA02
ID_776A1463-631A-4A15-95C9-B6DA83936C16,Zykadia tab 150 mg,Novartis Europharm Limited (1),L01ED02
ID_7779F3A5-C224-482F-B10C-CD5E57F41C67,Arimidex tab 1 mg,Orifarm AS,L02BG03
ID_77AB358A-DB73-472E-ABE0-68CD77EE0068,Sobril tab 15 mg,Pfizer AS,N05BA04
ID_77AE10B7-83B0-46AB-9099-1A2DC48BF3AF,Locametz prep sett til radioaktive legemidler 25 mikrog,Novartis Europharm Limited,V09IX14
ID_77B973DC-024F-4532-B175-4C1E0DEA045C,"Monoket OD depotkaps, hard 50 mg",Merus Labs Luxco II S.à r.l.,C01DA14
ID_77BD3B26-AED8-4E35-AC46-BA0D4124B829,"Cannabidiol glostrup dråper, oppl 20 mg/ml",Glostrup Apotek,N03AX24
ID_77C27F67-8536-4F0C-9309-639C827941C8,Wilate pulv+væske til inj oppl 1000 IE/1000 IE,Octapharma (2),B02BD06
ID_77C4664B-9C9F-4268-8EE7-7C961B1AF609,"Moxonidin Actavis tab 0,4 mg",Actavis Group PTC ehf (1),C02AC05
ID_77C6A17E-A2D8-4479-8177-00C2C14A80D7,Nupure probaflor kaps,Vision Healthcare Nordic,
ID_77DF144B-C18F-467C-8A26-9C1F5AE23253,"Azithromycin hexal pulv til mikst, susp 40 mg/ml",Hexal AG,J01FA10
ID_77E7268B-3060-4776-8DEA-301366EC209A,Atrovent Nasal nesespray oppl 21 mikrog/dose,Boehringer Ingelheim,R01AX03
ID_77E9D652-7AEC-43E2-985B-DE23771544F9,Alitretinoin Orifarm kaps 30 mg,Orifarm Generics A/S,D11AH04
ID_77F3A8AE-8828-4A9F-90C3-BF2A7E8BA962,"Gensumycin inj, oppl 40 mg/ml",Amdipharm Limited,J01GB03
ID_77F8B946-BF92-43EB-A89F-E4A3B6CD8A19,"Phoxilium 1,2 mmol/l fosfat hemodial/hemofilt væske",Vantive Belgium SRL,B05ZB
ID_7804717C-C653-42E2-8E1A-2CE182BFEB28,"Povidone Iodine Minims øyedr, oppl 5 % w/v",Bausch & Lomb,S01AX18
ID_78069E50-3762-4AA4-89CE-AFCB3DBEC41E,"Advagraf depotkaps, hard 5 mg",Astellas Pharma Europe BV,L04AD02
ID_7809018D-065C-4D83-A09D-E987FDB5297B,"Budesonid Teva inh væske, susp 0,125 mg/ml",Teva B.V.,R03BA02
ID_780B6060-EAFC-4984-9335-E105D00A86F8,"Anatera inj, oppl 100 mg/ml",Alcon Nordic A/S,S01JA01
ID_7821AE0D-AC90-48FC-8A28-3472FCB0928F,Nycoplus høy omega-3 500 kaps,Orifarm Healthcare AS,
ID_783175A8-40C6-46C4-926D-EC3020BE20D6,Vimizim kons til inf oppl 1 mg/ml,BioMarin International Limited,A16AB12
ID_78353A11-7E12-4EED-B671-618E6524D41F,"Pentamidine Isetionate pfizer pulv til inj væske, oppl 300 mg",Pfizer,P01CX01
ID_784DEC24-C7FE-4591-8223-AC37B7408986,Mepacrine HCl tab 100 mg,Ascot,P01AX05
ID_784E2740-AAA2-42DA-9E18-2E57DD572706,"Striverdi Respimat inh væske, oppl 2,5 mikrog",Boehringer Ingelheim International GmbH,R03AC19
ID_78516146-0407-4F0C-B734-55C78166E0F9,Fenemal NAF tab 15 mg,Kragerø Tablettproduksjon AS,N03AA02
ID_7853A8E1-1837-4C53-9107-DA213871D820,"Losartan/Hydrochlorothiazide Krka tab 50 mg/12,5 mg",KRKA Sverige AB,C09DA01
ID_7859876E-4C32-4FCF-918A-E13755D05783,"Valproat Life Medical inj/inf, oppl 100 mg/ml",Life Medical ApS (1),N03AG01
ID_78710B6B-E752-4DA2-B0FE-C34085A64C80,Haemate pulv+væske til inj/inf oppl 500 IE/1200 IE,CSL Behring GmbH,B02BD06
ID_7878CC41-BD6D-47AE-B8C2-092B41CA444F,Remeron-S smeltetab 30 mg,N.V. Organon - Kloosterstraat,N06AX11
ID_787D4949-B9AB-439E-8C98-3870FD7F8037,Permetrin Aurora Medical krem 5 %,2care4 ApS,P03AC04
ID_788220B3-07E0-4F79-AEDF-638CFF3DB04B,Emgesan tab 250 mg,Meda AS,G04BX01
ID_78996BCE-7C55-4D15-BAFB-9EA7A2B1FD2E,"Lanoxin inj, oppl 0,5 mg/2 ml",Aspen,C01AA05
ID_789DEC35-AF28-42E6-A99B-D4A4E7D4218E,Pentasa stikkpille 1 g,Ferring Legemidler AS,A07EC02
ID_78ADA8AD-B3C8-4668-A7A0-7B83A05DD2FD,"Yasmin tab 0,03 mg/3 mg",Bayer AB - Solna,G03AA12
ID_78AE1F8C-7EA0-4B2A-9C02-C38546241662,Levopidon mikst oppl 30 mg,dne pharma,N07BC05
ID_78B3D0C0-A720-46D6-BF70-73008C6991D3,"Salbutamol breath inh væske, oppl 2,5 mg/2,5 ml",Breath,R03AC02
ID_78D7FD4C-0C0E-4211-98D6-DB0F77E7625B,"Aminophylline mercury inj, oppl 25 mg/ml",Mercury,R03DA05
ID_78D88D6D-9EEA-4F08-A1FB-9F7EC812F902,Levetiracetam Accord tab 250 mg,Accord Healthcare S.L.U.,N03AX14
ID_78DA77BF-124A-4C53-818B-B69866E6373A,Lifeline care junior gelepute med sitron/appelsinsmak,Lifeline Pharma AS,
ID_78DCFF94-8202-4821-AC73-AE75164F4904,Evrenzo tab 20 mg,Astellas Pharma Europe B.V. - Leiden,B03XA05
ID_78DE3D91-7690-4A11-86F3-8753ADC5DA73,Tegretol Retard depottab 400 mg,Novartis Norge (2),N03AF01
ID_78E621EB-D2A7-49B1-831B-80CC814D3331,Trileptal tab 600 mg,Novartis Norge (2),N03AF02
ID_78E9029F-F41B-4CC9-A71E-6FF088B594CB,Prednisolone mylan brusetab 20 mg,Mylan,H02AB06
ID_78EC97CA-4F1B-4DAC-A457-DD1C6653C1C5,Kaleorid depottab 750 mg,Karo Pharma AB,A12BA01
ID_78FB9F22-CAF8-40D0-BEF7-DA1F2DA85D48,"Xylocain-Adrenalin inj, oppl 10 mg/ml/5 mikrog/ml",Aspen,N01BB52
ID_791001CA-4760-417F-8BEA-186EBAA6FF10,Cisordinol tab 2 mg,H. Lundbeck A/S,N05AF05
ID_7917C0B8-C80E-481E-A36D-6D5F76DBF6D7,Metadon apotektilvirket mikst oppl med solbærsmak 175 mg/dose,,N07BC02
ID_791AE6F6-0860-4F87-9AA4-BC62FD38DC04,Dolcontin depottab 10 mg,Mundipharma AS,N02AA01
ID_792E8B3D-30BE-479F-B1B5-11D6E5147E79,Pantoprazol Actavis enterotab 40 mg,Actavis Group PTC ehf,A02BC02
ID_79483D84-CA0F-4CE3-8C46-2BDA9F40A0C0,"Elocon krem 0,1 %",N.V. Organon - Kloosterstraat,D07AC13
ID_794CE185-704B-4BE6-BC01-5D9B042A3473,Gabapentin rosemont mikst oppl 50 mg/ml,Rosemont Pharmaceuticals,N02BF01
ID_795B338C-5A0B-4F74-820A-359B3C56AF81,Galvus tab 50 mg,Novartis Europharm Limited (1),A10BH02
ID_796D7B33-A4E9-4B93-91B4-E14F82763F6E,Urea SA pulv 2 g,Sykehusapotekene HF,V04C
ID_79999D31-DB2C-4728-B878-27E9D77DF924,"Betnovat salve 0,1 %",GlaxoSmithKline AS,D07AC01
ID_79B41DAA-4681-4DFA-8550-6B599A56F653,Topimax tab 200 mg,2care4 ApS,N03AX11
ID_79B9DD7E-B2BD-45A4-9F39-E5933B135AAF,Canoderm krem 5 %,Aco Hud Nordic AB,D02AE01
ID_79BF0C4C-F521-4C1C-A08D-527BD02019AC,"Avamys nesespray susp 27,5 mikrog/dose",GlaxoSmithKline,R01AD12
ID_79C4588C-04B2-4220-808D-1E8CF1C69685,"Hyrimoz inj, oppl 20 mg/sprøyte",Sandoz GmbH,L04AB04
ID_79CB845C-203D-4CA8-9A9D-81CB614D5E7E,Ondansetron Bluefish tab 4 mg,Bluefish Pharmaceuticals AB,A04AA01
ID_79CCE152-962A-478B-B629-A6B2FE008004,Ismn stada depottab 100 mg,Stada,C01DA14
ID_79CDE938-426B-40C3-B709-2E53035008E4,Naproxen-E Mylan enterotab 500 mg,Mylan AB,M01AE02
ID_79D077AD-9716-4A09-A601-C383320C7B70,Propavan tab 25 mg,Sanofi AB,N05CM06
ID_79D09730-2F4E-44A3-9121-5FE1C603F007,"Lenzetto transdermalspray, oppl 1,53 mg/spray",Gedeon Richter Plc,G03CA03
ID_79D1B30A-E64F-427E-97B5-0779E8934FA2,Topotecan Accord kons til inf oppl 1 mg/ml,Accord Healthcare B.V.,L01CE01
ID_79EBBE8E-254B-4053-A437-2F14DE1D9B4A,Prednisolon Alternova tab 20 mg,Alternova,H02AB06
ID_79F4DEE3-E1AD-4311-A842-ED4B1C048473,Leflunomide zentiva tab 10 mg,Zentiva,L04AK01
ID_79F506A0-CE4A-4812-9068-AD24604BD51F,Xyzal tab 5 mg,Orifarm AS,R06AE09
ID_79F57E8C-EB2B-432C-819C-3544D2967B6F,"Heparin gilvasan inj, oppl uten konserveringsmiddel 100 IE/ml",Gilvasan Pharma,B01AB01
ID_79FAED50-3A72-42C7-A3AD-0EA985703822,"Trulicity inj, oppl 1,5 mg/penn",Eli Lilly Nederland B.V.,A10BJ05
ID_7A0E74EC-4C00-4A2B-A281-267018E5DEBA,Fungizone pulv til inf væske oppl 50 mg,Bristol-Myers Squibb (4),J02AA01
ID_7A2000BA-032B-468E-B21A-882D170BDD82,Alprolix pulv+væske til inj oppl 2000 IU,Swedish Orphan Biovitrum International AB,B02BD04
ID_7A227DC7-668F-4D5E-B9FF-4373CC40C186,"Minjuvi pulv til kons til inf væske, oppl 200 mg",Incyte Biosciences Distribution B.V.,L01FX12
ID_7A2282B4-7D01-4038-A94F-6684CD6FAFBC,Rozlytrek kaps 200 mg,Roche Registration GmbH,L01EX14
ID_7A244060-F1CD-4F06-A4E1-3C861C5E4DDC,Aripiprazole Accord tab 30 mg,Accord Healthcare S.L.U.,N05AX12
ID_7A3604B2-B83F-49C5-8B22-2848B0FB4855,"Sevre-Long depotkaps, hard 200 mg",Mundipharma,N02AA01
ID_7A47B794-1468-44F6-93F9-8461AF607CCC,Zonat tab 25 mg,Karo Pharma AS,R06AA09
ID_7A4A1BCA-F0CA-4196-838C-98A0FA0C7FE5,Spironolactone Orion tab 100 mg,Orion Corporation - Espoo,C03DA01
ID_7A4A9BEB-5E9E-4E26-A70D-E05C80098FA2,"Exelon kaps 4,5 mg",Novartis Europharm Limited (1),N06DA03
ID_7A4C2778-A6B1-414F-AB51-04699083E0D7,Hycamtin kaps 1 mg,Sandoz Pharmaceuticals d.d.,L01CE01
ID_7A502F1C-EC69-42EE-A067-77B8D4FD6528,"Baclofen Sintetica inf, oppl 0,5 mg/ml",Sintetica GmbH,M03BX01
ID_7A5981E5-F77B-4CBB-8207-9878F7CCAC49,"Adrenalin inj, oppl 0,1 mg/ml",Takeda AS,C01CA24
ID_7A5C3B9A-BDD1-4CA4-9E1F-9F1FAC071EF2,Ilomedin kons til inf oppl 20 mikrog/ml,Bayer AB - Solna,B01AC11
ID_7A70C089-4159-40A6-BE47-CD61BEC6AD40,Plenadren tab modif frisetting 20 mg,Takeda Pharmaceuticals International AG Ireland Branch,H02AB09
ID_7A71D44F-723C-435A-8515-07A63423A377,"Relvar Ellipta inh pulv, disp 184 mikrog/22 mikrog",GlaxoSmithKline (Ireland) Limited,R03AK10
ID_7A75DDDF-CBEB-4F8E-8FD4-E6A2764F2F74,"Midazolam Accord inj/inf, oppl 1 mg/ml",Accord Healthcare B.V.,N05CD08
ID_7A7A81A5-5856-4868-BA23-F7C37D79A87A,"Pilocarpina farmigea øyedr, oppl 20 mg/ml",Farmigea,S01EB01
ID_7A836BCD-14C7-48C9-B45B-1532891F9454,Intuniv depottab 1 mg,Takeda Pharmaceuticals International AG Ireland Branch,C02AC02
ID_7AA71978-0179-454B-8653-F180A54C9075,"Afipran inj, oppl 5 mg/ml",Orifarm Healthcare A/S,A03FA01
ID_7AA71A54-5DFE-469D-88DF-5692395C4140,"Furosemide Kalceks inj/inf, oppl 10 mg/ml",AS Kalceks,C03CA01
ID_7AA8E9A4-4081-4927-B421-66C825CF9982,Metadon Abcur tab 10 mg,Abcur AB,N07BC02
ID_7AA94B0D-4660-4151-9F96-1A07875835D4,Scatol tab 3 mg,2care4 Generics ApS,P02CF01
ID_7AB3A342-3277-4A1E-BF7A-FF6A486DD300,"Champix tab 0,5 mg",Pfizer Europe MA EEIG (1),N07BA03
ID_7AB6F3EB-4C96-419C-833B-A354946A40C2,"Warfarin Orion tab 2,5 mg",Orion Corporation - Espoo,B01AA03
ID_7ABC6C8E-3DA7-45AC-93EA-805F0D8A5BCC,Somavert pulv+væske til inj oppl 10 mg,Pfizer Europe MA EEIG (1),H01AX01
ID_7ABFA9D2-02ED-4071-986D-338B0A6B311C,"Naramig tab 2,5 mg",2care4 ApS,N02CC02
ID_7AC54021-FCF2-4352-90C7-77A1A983FF4C,"Valcyte pulv til mikst, oppl 50 mg/ml",Cheplapharm Arzneimittel GmbH,J05AB14
ID_7AE29BF8-F67F-479B-8E61-B91CEB051278,Akineton tab 2 mg,Laboratorio Farmaceutica S.I.T. Srl,N04AA02
ID_7AE7D7EA-8D16-481B-AA96-0C882FDAD3A5,Nycoplus B12-vitamin tab 9 mikrog,Orifarm Healthcare AS,
ID_7AEF756F-5B31-4B01-A7DE-C0AE67FD5BCD,Mexiletine teva kaps 150 mg,Teva Pharmaceuticals,C01BB02
ID_7AF2FF0F-94C4-4504-8563-28E0E3792BCA,"Flutide inh pulv, disp 100 mikrog/dose",GlaxoSmithKline AS,R03BA05
ID_7B00137E-40A5-40CE-99CC-0C161C3C169E,Hydrokon NAF tab 5 mg,Kragerø Tablettproduksjon AS,R05DA03
ID_7B11B40B-C8CE-4AAC-9129-9B3DD1D38661,Inegy tab 10 mg/20 mg,N.V. Organon - Kloosterstraat,C10BA02
ID_7B278549-E67F-4065-9B9F-9553DBD1A2DD,Escitalopram Actavis tab 10 mg,Actavis Group PTC ehf,N06AB10
ID_7B3E1906-A034-4222-83E3-3D72878D355D,Canesten krem 10 mg/g,Bayer AB - Solna,G01AF02
ID_7B4BA0DB-9CC4-40A1-A550-8F004300E92B,"Methylthioninium chloride Proveblue inj, oppl 5 mg/ml",Provepharm SAS,V03AB17
ID_7B4BC0DF-D251-447C-8AD0-0D34FDB83829,Lamictal tyggetab/disperg tab 100 mg,GlaxoSmithKline AS,N03AX09
ID_7B4F6393-088F-45AC-A41E-3F0CF3A88845,Nycopro Laktase tab,Orifarm Healthcare AS,
ID_7B4FCF3C-9272-4029-B39E-81F15127304A,"Iscador Qu Serie 0 inj, oppl 0,01 mg/ml",Weleda AG,V03AX
ID_7B5377E9-4F9B-4529-9468-000FDC359828,"Saizen inj, oppl 8 mg/ml",Merck Serono S.p.A,H01AC01
ID_7B53CB89-ADC3-4338-B068-8BF8FD1776B0,Exelon mikst oppl 2 mg/ml,Novartis Europharm Limited (1),N06DA03
ID_7B69F640-5FB4-4F73-B42A-3ECEDC0F4479,UltraClear Plus pH pulv med vaniljesmak,Metagenics,V06DB
ID_7B7088FE-61A4-4C5C-BED9-FE85C15EA9BE,Keppra tab 250 mg,UCB SA,N03AX14
ID_7B7B17B2-B8CD-4FCE-BA9C-055AF7062741,Brexidol tab 20 mg,2care4 ApS,M01AC01
ID_7B7DFB3A-8891-4124-92D3-670C090454B2,Montelukast Teva tyggetab 5 mg,Teva Sweden AB,R03DC03
ID_7B83A83B-54C8-44DB-A616-DD80A123CD30,Sana pharma melatonin kaps 1 mg,Erbozeta,
ID_7B8A58BF-583B-47AD-997C-04F076A53C4F,"Arthrotec tab modif frisetting 50 mg/0,2 mg",Pfizer,M01AB55
ID_7B91A6CA-E7E6-40AE-B93F-682933D4FC98,Levopidon mikst oppl 35 mg,dne pharma,N07BC05
ID_7B94795F-5A27-4F6A-A33B-2A6181DB61D1,Euthyrox tab 100 mikrog,Merck AB (1),H03AA01
ID_7BA62B05-D869-40CE-B5A6-B92D494EA850,"Palladone SR depotkaps, hard 8 mg",Napp Pharmaceuticals,N02AA03
ID_7BB14110-7C0A-4B30-BB2D-D28883BA1836,Keflex tab 500 mg,2care4 ApS,J01DB01
ID_7BB4277E-D80B-4DE9-AA3E-1850A8FDB7B6,"Bunalict sublingvaltab 2 mg/0,5 mg",Sandoz - København,N07BC51
ID_7BB90B48-97C4-47D0-B13B-17CE250DA663,Entresto tab 97 mg/103 mg,Novartis Europharm Limited (1),C09DX04
ID_7BC114DA-179E-4EFD-B58D-3870FA94DF24,Abilify mikst oppl 1 mg/ml,Otsuka Pharmaceutical Netherlands B.V.,N05AX12
ID_7BC16EED-92C4-46A7-8CBF-2F9876CA49E6,Nicotinell medisinsk tyggegummi med icemintsmak 4 mg,Haleon Denmark ApS,N07BA01
ID_7BC2D9DC-122C-4946-AAEB-F9F063684128,"D3-Vicotrat unimedic inj, oppl 100000 IE/ml",Heyl,A11CC05
ID_7BC40EE4-9823-44BD-8785-A2F9B119EF5C,Paracet brusetab 500 mg,Karo Pharma AS,N02BE01
ID_7BC794EF-2257-4FFC-B97B-EEA8C6832614,Braftovi kaps 75 mg,Pierre Fabre Medicament,L01EC03
ID_7BD97C4E-EAAE-47E6-8C4F-7881F64A9A89,Primolut N tab 5 mg,Bayer AB - Solna,G03DC02
ID_7BEF6CFA-0B2B-4DF8-AB42-07A3815298BB,Lofarma hamster epithelium oppl til prikktest,Lofarma,V04CL
ID_7BFB89C4-2DBB-4820-9875-8C32DBA030F3,"Synalar-C krem 0,025 % w/w/3 % w/w",Reig Jofre,D07BC02
ID_7C0019C1-ACDA-4F0D-B38A-3B60EAAF5215,"Ramipril Actavis tab 2,5 mg",Actavis Group PTC ehf (1),C09AA05
ID_7C0A2BF8-DA0D-4E64-B20F-3252B1272396,Soluprick SQ Derma Pteronyssinus oppl til prikktest 10 HEP,ALK-Abelló AS,V04CL
ID_7C0F303E-6D74-4FFD-B1B8-98F59BAD1CEB,Berinert pulv+væske til inj oppl 2000 IU,CSL Behring GmbH (2),B06AC01
ID_7C190CE2-3370-4D4E-854A-7D3F80297014,"Plegridy inj, oppl 125 mikrog/penn",Biogen Netherlands B.V.,L03AB13
ID_7C22E575-F18A-47DF-BA91-2EADD56EFCEB,Lojuxta kaps 10 mg,Chiesi Farmaceutici S.p.a.,C10AX12
ID_7C24B98E-A640-428D-AC6E-60E3164F5EC4,"Kokain SA øyedr, oppl 20 mg/ml","Sykehusapoteket Oslo, Rikshospitalet",S01HA01
ID_7C30197B-F951-4ABE-9C5D-115FDF9C5234,"Diprotit øredr, oppl 0,05 % w/w",Evolan Pharma AB,S02BA07
ID_7C33D654-73A9-4120-9BCF-3C09F7399221,"Gevita tranebær mikst oppl 2,8 %",Orkla Health Norge AS,
ID_7C348BDC-2785-4E77-AE7B-493CB123A14A,Indocid kaps 25 mg,H.A.C. Pharma,M01AB01
ID_7C37E171-11BE-4166-A5DE-330F3F771936,Haldol mikst oppl 2 mg/ml,Essential Pharma,N05AD01
ID_7C436A49-83FB-447B-95F6-3896AF02CD1E,Trilafon tab 2 mg,MSD,N05AB03
ID_7C4582D4-C063-4987-9092-CDE0E929987E,"Tramadol panpharma inj, oppl 100 mg/2 ml",Panpharma,N02AX02
ID_7C46B9C6-DA87-48D1-B4D1-E888BE175254,Fucidin salve 2 %,LEO Pharma,D06AX01
ID_7C598AE1-2D80-40A8-AFB2-C705E7A98E84,Ultomiris kons til inf oppl 300 mg/3 ml,Alexion Europe SAS (2),L04AJ02
ID_7C5D7AE6-DBA6-48B4-81B3-C08E931AD5BC,"Atrovent inh aerosol, oppl 20 mikrog/dose",Boehringer Ingelheim International GmbH,R03BB01
ID_7C616AB9-96EA-42EC-B0BF-642D8D2854B1,Lofarma mackerel oppl til prikktest,Lofarma,V04CL
ID_7C6C9028-4803-4694-82C5-026F22AEAE21,Otrivin nesespray oppl 1 mg/ml,Haleon Denmark ApS,R01AA07
ID_7C732FB4-DC12-44FD-9D3E-A69EB945B84E,"Relistor inj, oppl 12 mg/0,6 ml",Bausch Health Ireland Limited,A06AH01
ID_7C912F2C-8899-47E1-8E36-7FCD101A0D17,Lutinus vag tab 100 mg,Ferring,G03DA04
ID_7C998D1F-1E37-4D2D-A674-F8E1080A4ED8,Cardura tab 8 mg,Pfizer,C02CA04
ID_7CB87CC5-F96D-4B13-9029-B0FB185944BB,Kaletra tab 200 mg/50 mg,AbbVie Ltd.,J05AR10
ID_7CBDF5AC-C902-42F3-A999-EB8FA1CD422A,Cipralex tab 5 mg,H. Lundbeck A/S,N06AB10
ID_7CC131B0-F55D-40C1-9E40-CF73797DE76C,Nycoplus C-vitamin brusetab med appelsinsmak 1000 mg,Orifarm Healthcare AS,
ID_7CC64712-1F89-418E-8A1C-2C5188957777,"Aspaveli inf, oppl 1080 mg",Apellis Ireland Limited,L04AJ03
ID_7CCE1DDA-4162-4CE4-81B8-BDEB89553D5F,Exforge tab 5 mg/160 mg,Novartis Europharm Limited (1),C09DB01
ID_7CD45A98-31CA-4C4C-97C4-27D22FFA5DD4,"Pethidin HCl sintetica inj, oppl 50 mg/ml",Sintetica SA,N02AB02
ID_7CD9BCA0-E637-4DC0-9E38-25A00EC9A7ED,Mysimba depottab 8 mg/90 mg,Orexigen Therapeutics Ireland Limited (1),A08AA62
ID_7CE23180-7DFE-49B4-A5A6-E9EE4464511C,"Tobi inh væske, oppl 300 mg/dose",Viatris Healthcare Ltd.,J01GB01
